enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target,min_company_size,max_company_size,avg_company_size,is_avg_nan
6491,city_102,0.804,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,1,48,0.0,,,74.5,True
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,Pvt Ltd,1,65,0.0,1000.0,4999.0,2999.5,False
22767,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,13,0.0,1000.0,4999.0,2999.5,False
14505,city_67,0.855,Non disclosure,No relevent experience,no_enrollment,High School,STEM,4,Pvt Ltd,0,22,0.0,,,74.5,True
17139,city_21,0.624,Non disclosure,Has relevent experience,Part time course,Graduate,STEM,14,Pvt Ltd,1,148,1.0,500.0,999.0,749.5,False
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Pvt Ltd,2,72,0.0,,,74.5,True
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,STEM,11,Pvt Ltd,1,8,1.0,1.0,10.0,5.5,False
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,Funded Startup,2,68,1.0,50.0,99.0,74.5,False
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,3,40,0.0,100.0,500.0,300.0,False
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,Pvt Ltd,5,141,0.0,5000.0,9999.0,7499.5,False
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,1,24,0.0,,,74.5,True
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,82,0.0,100.0,500.0,300.0,False
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,Pvt Ltd,3,145,0.0,5000.0,9999.0,7499.5,False
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Early Stage Startup,2,206,0.0,10.0,49.0,29.5,False
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,STEM,1,Other,1,152,0.0,10000.0,20000.0,15000.0,False
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21,Pvt Ltd,4,42,1.0,100.0,500.0,300.0,False
8612,city_103,0.92,Non disclosure,No relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,4,50,0.0,,,74.5,True
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,Public Sector,2,14,0.0,1000.0,4999.0,2999.5,False
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,4,Pvt Ltd,2,36,0.0,10.0,49.0,29.5,False
31654,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,6,Early Stage Startup,1,112,1.0,50.0,99.0,74.5,False
13643,city_64,0.6659999999999999,Non disclosure,No relevent experience,no_enrollment,Graduate,No Major,9,Pvt Ltd,0,108,0.0,50.0,99.0,74.5,False
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,Pvt Ltd,3,7,1.0,5000.0,9999.0,7499.5,False
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,Pvt Ltd,0,26,1.0,,,74.5,True
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,0,87,1.0,100.0,500.0,300.0,False
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,Public Sector,4,52,1.0,10000.0,20000.0,15000.0,False
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Pvt Ltd,5,20,1.0,,,74.5,True
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,1,21,0.0,10.0,49.0,29.5,False
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Pvt Ltd,1,92,1.0,,,74.5,True
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,2,102,0.0,100.0,500.0,300.0,False
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,Pvt Ltd,5,26,0.0,10000.0,20000.0,15000.0,False
28512,city_104,0.924,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,3,Early Stage Startup,2,7,0.0,1.0,10.0,5.5,False
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,STEM,4,Pvt Ltd,1,43,0.0,10000.0,20000.0,15000.0,False
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,1,45,0.0,100.0,500.0,300.0,False
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,Early Stage Startup,2,52,0.0,50.0,99.0,74.5,False
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,2,19,0.0,,,74.5,True
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21,Pvt Ltd,5,26,1.0,100.0,500.0,300.0,False
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Pvt Ltd,1,90,0.0,,,74.5,True
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,3,25,0.0,100.0,500.0,300.0,False
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21,Pvt Ltd,5,48,0.0,100.0,500.0,300.0,False
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,2,142,1.0,50.0,99.0,74.5,False
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,Pvt Ltd,4,13,0.0,10000.0,20000.0,15000.0,False
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,5,47,0.0,,,74.5,True
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,Public Sector,1,28,0.0,500.0,999.0,749.5,False
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,4,22,0.0,,,74.5,True
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0,Pvt Ltd,0,18,1.0,,,74.5,True
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,1,29,0.0,10.0,49.0,29.5,False
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Pvt Ltd,1,46,0.0,100.0,500.0,300.0,False
29117,city_11,0.55,Non disclosure,No relevent experience,Full time course,Graduate,STEM,0,Pvt Ltd,0,12,0.0,,,74.5,True
3686,city_103,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,2,17,0.0,100.0,500.0,300.0,False
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,Pvt Ltd,2,65,0.0,50.0,99.0,74.5,False
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,Pvt Ltd,1,35,0.0,100.0,500.0,300.0,False
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,Pvt Ltd,3,14,0.0,10000.0,20000.0,15000.0,False
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,Early Stage Startup,1,4,0.0,1.0,10.0,5.5,False
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,5,12,0.0,50.0,99.0,74.5,False
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,2,108,0.0,50.0,99.0,74.5,False
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,1,136,0.0,,,74.5,True
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,27,0.0,10.0,49.0,29.5,False
5902,city_20,0.7959999999999999,Non disclosure,Has relevent experience,Part time course,Masters,STEM,4,Funded Startup,1,74,0.0,50.0,99.0,74.5,False
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Early Stage Startup,1,86,0.0,10.0,49.0,29.5,False
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0,Pvt Ltd,2,83,0.0,10.0,49.0,29.5,False
28751,city_103,0.92,Non disclosure,No relevent experience,Full time course,High School,STEM,4,Pvt Ltd,3,75,0.0,,,74.5,True
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Public Sector,2,42,0.0,,,74.5,True
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,332,0.0,100.0,500.0,300.0,False
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,STEM,3,Pvt Ltd,0,182,0.0,,,74.5,True
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,Pvt Ltd,1,13,1.0,100.0,500.0,300.0,False
10497,city_19,0.682,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,2,172,1.0,10.0,49.0,29.5,False
18099,city_103,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,10,NGO,1,48,0.0,100.0,500.0,300.0,False
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,Pvt Ltd,1,33,0.0,50.0,99.0,74.5,False
7364,city_160,0.92,Non disclosure,No relevent experience,Full time course,High School,STEM,2,Pvt Ltd,1,142,0.0,100.0,500.0,300.0,False
11184,city_74,0.579,Non disclosure,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,1,34,0.0,100.0,500.0,300.0,False
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,2,14,1.0,50.0,99.0,74.5,False
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,2,27,1.0,10.0,49.0,29.5,False
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,1,24,1.0,100.0,500.0,300.0,False
14672,city_173,0.878,Non disclosure,No relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,1,150,0.0,,,74.5,True
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,NGO,5,20,0.0,500.0,999.0,749.5,False
24493,city_103,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,5,Pvt Ltd,1,140,0.0,500.0,999.0,749.5,False
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,1,52,0.0,5000.0,9999.0,7499.5,False
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,2,160,0.0,50.0,99.0,74.5,False
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,2,3,0.0,5000.0,9999.0,7499.5,False
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Pvt Ltd,2,2,1.0,1.0,10.0,5.5,False
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,28,0.0,1000.0,4999.0,2999.5,False
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21,Pvt Ltd,4,46,0.0,,,74.5,True
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Pvt Ltd,1,210,0.0,50.0,99.0,74.5,False
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,1,36,0.0,1.0,10.0,5.5,False
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Pvt Ltd,1,160,1.0,,,74.5,True
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,NGO,2,101,0.0,10.0,49.0,29.5,False
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Pvt Ltd,1,46,0.0,50.0,99.0,74.5,False
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,19,0.0,1000.0,4999.0,2999.5,False
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,2,26,1.0,100.0,500.0,300.0,False
21199,city_90,0.698,Non disclosure,Has relevent experience,Full time course,Graduate,STEM,7,NGO,1,90,0.0,1.0,10.0,5.5,False
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,4,59,0.0,1.0,10.0,5.5,False
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,Funded Startup,1,260,0.0,50.0,99.0,74.5,False
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,Pvt Ltd,5,74,0.0,50.0,99.0,74.5,False
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21,Pvt Ltd,2,20,1.0,100.0,500.0,300.0,False
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,2,8,0.0,100.0,500.0,300.0,False
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,1,131,0.0,100.0,500.0,300.0,False
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Pvt Ltd,1,45,0.0,,,74.5,True
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,Pvt Ltd,2,109,0.0,10.0,49.0,29.5,False
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,Pvt Ltd,1,70,0.0,100.0,500.0,300.0,False
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,NGO,5,17,0.0,100.0,500.0,300.0,False
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,1,51,0.0,50.0,99.0,74.5,False
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,3,60,1.0,50.0,99.0,74.5,False
3921,city_36,0.893,Non disclosure,No relevent experience,no_enrollment,Phd,STEM,21,Public Sector,5,4,0.0,1000.0,4999.0,2999.5,False
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,5,7,0.0,100.0,500.0,300.0,False
1924,city_102,0.804,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,3,164,0.0,100.0,500.0,300.0,False
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Pvt Ltd,4,290,0.0,,,74.5,True
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,STEM,2,NGO,0,145,0.0,1.0,10.0,5.5,False
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,Pvt Ltd,1,133,1.0,10000.0,20000.0,15000.0,False
30488,city_11,0.55,Non disclosure,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,1,20,0.0,,,74.5,True
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Funded Startup,1,76,0.0,1.0,10.0,5.5,False
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,Pvt Ltd,4,21,1.0,,,74.5,True
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,Pvt Ltd,2,34,0.0,5000.0,9999.0,7499.5,False
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,Pvt Ltd,2,15,0.0,1.0,10.0,5.5,False
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,156,0.0,,,74.5,True
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,15,0.0,5000.0,9999.0,7499.5,False
7777,city_114,0.926,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,0,120,0.0,,,74.5,True
22718,city_157,0.769,Non disclosure,Has relevent experience,no_enrollment,Graduate,No Major,14,Pvt Ltd,5,47,0.0,10000.0,20000.0,15000.0,False
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,2,100,1.0,,,74.5,True
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Pvt Ltd,0,102,0.0,500.0,999.0,749.5,False
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,4,Pvt Ltd,0,52,0.0,,,74.5,True
18998,city_114,0.926,Non disclosure,Has relevent experience,no_enrollment,High School,STEM,9,Pvt Ltd,4,39,0.0,10.0,49.0,29.5,False
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,STEM,4,Pvt Ltd,1,112,1.0,,,74.5,True
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21,Pvt Ltd,5,14,0.0,50.0,99.0,74.5,False
12154,city_16,0.91,Non disclosure,Has relevent experience,no_enrollment,Masters,Arts,21,NGO,5,55,0.0,1000.0,4999.0,2999.5,False
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Pvt Ltd,4,49,1.0,10000.0,20000.0,15000.0,False
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,5,72,0.0,,,74.5,True
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,Pvt Ltd,3,141,1.0,5000.0,9999.0,7499.5,False
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,STEM,6,Pvt Ltd,0,28,0.0,,,74.5,True
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,1,6,0.0,10000.0,20000.0,15000.0,False
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,Pvt Ltd,1,125,0.0,5000.0,9999.0,7499.5,False
13333,city_75,0.939,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,0,326,0.0,,,74.5,True
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21,Pvt Ltd,2,33,0.0,100.0,500.0,300.0,False
12381,city_102,0.804,Non disclosure,No relevent experience,no_enrollment,Masters,STEM,6,Pvt Ltd,5,40,0.0,10000.0,20000.0,15000.0,False
4064,city_160,0.92,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,18,Pvt Ltd,1,198,1.0,,,74.5,True
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,5,55,0.0,10000.0,20000.0,15000.0,False
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,32,0.0,500.0,999.0,749.5,False
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,Pvt Ltd,5,11,0.0,100.0,500.0,300.0,False
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,1,41,0.0,1.0,10.0,5.5,False
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Public Sector,5,87,1.0,10000.0,20000.0,15000.0,False
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,Pvt Ltd,4,114,0.0,100.0,500.0,300.0,False
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,Early Stage Startup,1,15,0.0,1.0,10.0,5.5,False
31033,city_16,0.91,Non disclosure,No relevent experience,Full time course,High School,STEM,3,Pvt Ltd,1,8,0.0,,,74.5,True
14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,STEM,2,NGO,1,22,0.0,100.0,500.0,300.0,False
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,4,13,0.0,5000.0,9999.0,7499.5,False
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Public Sector,1,246,0.0,1.0,10.0,5.5,False
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,22,0.0,10.0,49.0,29.5,False
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Funded Startup,1,81,0.0,1.0,10.0,5.5,False
12297,city_175,0.7759999999999999,Non disclosure,Has relevent experience,Full time course,Graduate,STEM,4,Funded Startup,1,11,0.0,10.0,49.0,29.5,False
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Funded Startup,1,50,0.0,100.0,500.0,300.0,False
29226,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,6,Pvt Ltd,0,15,0.0,,,74.5,True
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,5,31,0.0,10.0,49.0,29.5,False
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Pvt Ltd,0,84,0.0,50.0,99.0,74.5,False
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,Pvt Ltd,1,42,0.0,10000.0,20000.0,15000.0,False
31841,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,10,Pvt Ltd,5,105,1.0,10.0,49.0,29.5,False
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,Pvt Ltd,5,72,0.0,50.0,99.0,74.5,False
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Pvt Ltd,5,42,1.0,10.0,49.0,29.5,False
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Early Stage Startup,1,152,0.0,50.0,99.0,74.5,False
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Pvt Ltd,1,60,0.0,10000.0,20000.0,15000.0,False
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,Pvt Ltd,0,8,0.0,,,74.5,True
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,Pvt Ltd,3,17,1.0,,,74.5,True
7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,STEM,1,Pvt Ltd,1,33,0.0,,,74.5,True
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Funded Startup,0,38,0.0,100.0,500.0,300.0,False
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,Early Stage Startup,2,178,0.0,1.0,10.0,5.5,False
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,1,11,0.0,50.0,99.0,74.5,False
27104,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,STEM,21,Pvt Ltd,0,87,0.0,,,74.5,True
7731,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,0,84,0.0,,,74.5,True
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Early Stage Startup,2,32,0.0,100.0,500.0,300.0,False
22899,city_100,0.887,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,9,Pvt Ltd,1,31,1.0,100.0,500.0,300.0,False
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Public Sector,1,39,0.0,500.0,999.0,749.5,False
20866,city_59,0.775,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,7,Pvt Ltd,1,12,0.0,10.0,49.0,29.5,False
21634,city_21,0.624,Non disclosure,Has relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,1,50,0.0,10000.0,20000.0,15000.0,False
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Pvt Ltd,1,55,1.0,100.0,500.0,300.0,False
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,Early Stage Startup,1,104,0.0,50.0,99.0,74.5,False
18272,city_160,0.92,Non disclosure,Has relevent experience,Full time course,Graduate,Business Degree,21,Pvt Ltd,5,90,1.0,,,74.5,True
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,21,Pvt Ltd,5,8,0.0,100.0,500.0,300.0,False
23825,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,Pvt Ltd,0,102,0.0,,,74.5,True
7672,city_21,0.624,Non disclosure,Has relevent experience,no_enrollment,Masters,STEM,0,Pvt Ltd,1,202,1.0,10.0,49.0,29.5,False
5633,city_145,0.555,Non disclosure,Has relevent experience,no_enrollment,Graduate,STEM,4,Pvt Ltd,1,22,0.0,100.0,500.0,300.0,False
